feature,importance,fold
PREV_NAME_TYPE_SUITE_Groupofpeople_MEAN,2,1
PREV_NAME_TYPE_SUITE_Other_A_MEAN,1,1
PREV_NAME_TYPE_SUITE_Other_B_MEAN,12,1
PREV_NAME_TYPE_SUITE_Spousepartner_MEAN,33,1
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,147,1
PREV_NAME_TYPE_SUITE_nan_MEAN,137,1
PREV_NAME_CLIENT_TYPE_New_MEAN,82,1
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,110,1
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,64,1
PREV_NAME_CLIENT_TYPE_XNA_MEAN,0,1
PREV_NAME_CLIENT_TYPE_nan_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_AdditionalService_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Animals_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_AudioVideo_MEAN,50,1
PREV_NAME_GOODS_CATEGORY_AutoAccessories_MEAN,1,1
PREV_NAME_GOODS_CATEGORY_ClothingandAccessories_MEAN,3,1
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,38,1
PREV_NAME_GOODS_CATEGORY_ConstructionMaterials_MEAN,8,1
PREV_NAME_GOODS_CATEGORY_ConsumerElectronics_MEAN,42,1
PREV_NAME_GOODS_CATEGORY_DirectSales_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Education_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,45,1
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,18,1
PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_HouseConstruction_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,16,1
PREV_NAME_GOODS_CATEGORY_MedicalSupplies_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,46,1
PREV_NAME_GOODS_CATEGORY_OfficeAppliances_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Other_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_PhotoCinemaEquipment_MEAN,40,1
PREV_NAME_GOODS_CATEGORY_SportandLeisure_MEAN,35,1
PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,2,1
PREV_NAME_GOODS_CATEGORY_Weapon_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,28,1
PREV_NAME_GOODS_CATEGORY_nan_MEAN,0,1
PREV_NAME_PORTFOLIO_Cards_MEAN,27,1
PREV_NAME_PORTFOLIO_Cars_MEAN,0,1
PREV_NAME_PORTFOLIO_Cash_MEAN,82,1
PREV_NAME_PORTFOLIO_POS_MEAN,47,1
PREV_NAME_PORTFOLIO_XNA_MEAN,29,1
PREV_NAME_PORTFOLIO_nan_MEAN,0,1
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,53,1
PREV_NAME_PRODUCT_TYPE_walkin_MEAN,65,1
PREV_NAME_PRODUCT_TYPE_xsell_MEAN,56,1
PREV_NAME_PRODUCT_TYPE_nan_MEAN,0,1
PREV_CHANNEL_TYPE_APCashloan_MEAN,58,1
PREV_CHANNEL_TYPE_Cardealer_MEAN,0,1
